step	train_loss
1	2.377076
2	1.791696
3	1.856407
4	2.137383
5	2.353215
6	1.725399
7	1.878745
8	2.057587
9	1.747593
10	1.691399
11	2.193154
12	2.014698
13	1.673172
14	1.768062
15	2.277179
16	1.409786
17	1.534637
18	2.329447
19	1.802085
20	1.629569
21	1.756882
22	1.700646
23	1.318141
24	2.106022
25	2.259588
26	1.494391
27	1.446276
28	1.319733
29	1.483636
30	1.524352
31	1.579131
32	1.779613
33	1.903365
34	1.544828
35	1.808812
36	1.635765
37	1.584879
38	1.691883
39	1.670811
40	1.459734
41	1.326521
42	1.955472
43	1.612672
44	1.518597
45	1.419941
46	1.707087
47	1.208830
48	1.371024
49	1.501401
50	1.659016
51	1.645534
52	1.442947
53	1.748769
54	1.296874
